SalesOrderID,OrderDate,DueDate,ShipDate,CustomerID,TerritoryID,SubTotal,TaxAmt,Freight,TotalDue,SalesOrderDetailID,OrderQty,ProductID,LineTotal,ProductCategoryID,Category,ProductSubcategoryID,Sub category,Product.1,Color,Territory
52242,7/7/2013,7/19/2013,7/14/2013,18102,4,4.99,0.3992,0.1248,5.514,43795,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
52592,7/14/2013,7/26/2013,7/21/2013,17014,4,4.99,0.3992,0.1248,5.514,44665,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
52694,7/16/2013,7/28/2013,7/23/2013,17165,4,4.99,0.3992,0.1248,5.514,44911,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
52799,7/18/2013,7/30/2013,7/25/2013,18111,4,4.99,0.3992,0.1248,5.514,45168,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
53799,8/3/2013,8/15/2013,8/10/2013,18123,4,4.99,0.3992,0.1248,5.514,50911,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
54058,8/8/2013,8/20/2013,8/15/2013,18424,4,4.99,0.3992,0.1248,5.514,51552,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
54059,8/8/2013,8/20/2013,8/15/2013,19214,4,4.99,0.3992,0.1248,5.514,51553,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
54063,8/8/2013,8/20/2013,8/15/2013,17683,4,4.99,0.3992,0.1248,5.514,51559,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
54158,8/10/2013,8/22/2013,8/17/2013,17275,4,4.99,0.3992,0.1248,5.514,51793,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
54281,8/12/2013,8/24/2013,8/19/2013,16860,4,4.99,0.3992,0.1248,5.514,52089,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
54556,8/17/2013,8/29/2013,8/24/2013,18552,4,4.99,0.3992,0.1248,5.514,52776,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
54684,8/19/2013,8/31/2013,8/26/2013,17169,4,4.99,0.3992,0.1248,5.514,53091,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
54998,8/25/2013,9/6/2013,9/1/2013,18423,4,4.99,0.3992,0.1248,5.514,53838,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
55414,8/31/2013,9/12/2013,9/7/2013,16992,4,4.99,0.3992,0.1248,5.514,56406,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
55576,9/3/2013,9/15/2013,9/10/2013,18387,4,4.99,0.3992,0.1248,5.514,56805,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
55991,9/10/2013,9/22/2013,9/17/2013,18657,4,4.99,0.3992,0.1248,5.514,57857,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
56456,9/19/2013,10/1/2013,9/26/2013,17694,4,4.99,0.3992,0.1248,5.514,59013,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
56559,9/21/2013,10/3/2013,9/28/2013,18106,4,4.99,0.3992,0.1248,5.514,59278,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
57269,10/1/2013,10/13/2013,10/8/2013,18510,4,4.99,0.3992,0.1248,5.514,63438,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
58095,10/16/2013,10/28/2013,10/23/2013,16874,4,4.99,0.3992,0.1248,5.514,65433,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
59434,11/4/2013,11/16/2013,11/11/2013,17467,4,4.99,0.3992,0.1248,5.514,71394,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
59853,11/10/2013,11/22/2013,11/17/2013,18099,4,4.99,0.3992,0.1248,5.514,72441,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
60275,11/16/2013,11/28/2013,11/23/2013,17538,4,4.99,0.3992,0.1248,5.514,73482,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
60399,11/18/2013,11/30/2013,11/25/2013,17174,4,4.99,0.3992,0.1248,5.514,73816,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
60588,11/21/2013,12/3/2013,11/28/2013,17434,4,4.99,0.3992,0.1248,5.514,74275,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
60790,11/24/2013,12/6/2013,12/1/2013,17426,4,4.99,0.3992,0.1248,5.514,74781,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
61749,12/8/2013,12/20/2013,12/15/2013,17436,4,4.99,0.3992,0.1248,5.514,78315,1,870,4.99,4,Accessories,28,Bottles and Cages,Water Bottle - 30 oz.,No color,Southwest
