SalesOrderID,OrderDate,DueDate,ShipDate,CustomerID,TerritoryID,SubTotal,TaxAmt,Freight,TotalDue,SalesOrderDetailID,OrderQty,ProductID,LineTotal,ProductCategoryID,Category,ProductSubcategoryID,Sub category,Color,Territory,OrderDay,OrderMonth,OrderYear,DueDay,DueMonth,DueYear,ShipDay,ShipMonth,ShipYear,ProductName,Size
52242,2013-07-07,2013-07-19,2013-07-14,18102,4,4.99,0.3992,0.1248,5.514,43795,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,7,7,2013,19,7,2013,14,7,2013,water bottle,30 oz.
52592,2013-07-14,2013-07-26,2013-07-21,17014,4,4.99,0.3992,0.1248,5.514,44665,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,14,7,2013,26,7,2013,21,7,2013,water bottle,30 oz.
52694,2013-07-16,2013-07-28,2013-07-23,17165,4,4.99,0.3992,0.1248,5.514,44911,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,16,7,2013,28,7,2013,23,7,2013,water bottle,30 oz.
52799,2013-07-18,2013-07-30,2013-07-25,18111,4,4.99,0.3992,0.1248,5.514,45168,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,18,7,2013,30,7,2013,25,7,2013,water bottle,30 oz.
53799,2013-08-03,2013-08-15,2013-08-10,18123,4,4.99,0.3992,0.1248,5.514,50911,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,3,8,2013,15,8,2013,10,8,2013,water bottle,30 oz.
54058,2013-08-08,2013-08-20,2013-08-15,18424,4,4.99,0.3992,0.1248,5.514,51552,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,8,8,2013,20,8,2013,15,8,2013,water bottle,30 oz.
54059,2013-08-08,2013-08-20,2013-08-15,19214,4,4.99,0.3992,0.1248,5.514,51553,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,8,8,2013,20,8,2013,15,8,2013,water bottle,30 oz.
54063,2013-08-08,2013-08-20,2013-08-15,17683,4,4.99,0.3992,0.1248,5.514,51559,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,8,8,2013,20,8,2013,15,8,2013,water bottle,30 oz.
54158,2013-08-10,2013-08-22,2013-08-17,17275,4,4.99,0.3992,0.1248,5.514,51793,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,10,8,2013,22,8,2013,17,8,2013,water bottle,30 oz.
54281,2013-08-12,2013-08-24,2013-08-19,16860,4,4.99,0.3992,0.1248,5.514,52089,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,12,8,2013,24,8,2013,19,8,2013,water bottle,30 oz.
54556,2013-08-17,2013-08-29,2013-08-24,18552,4,4.99,0.3992,0.1248,5.514,52776,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,17,8,2013,29,8,2013,24,8,2013,water bottle,30 oz.
54684,2013-08-19,2013-08-31,2013-08-26,17169,4,4.99,0.3992,0.1248,5.514,53091,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,19,8,2013,31,8,2013,26,8,2013,water bottle,30 oz.
54998,2013-08-25,2013-09-06,2013-09-01,18423,4,4.99,0.3992,0.1248,5.514,53838,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,25,8,2013,6,9,2013,1,9,2013,water bottle,30 oz.
55414,2013-08-31,2013-09-12,2013-09-07,16992,4,4.99,0.3992,0.1248,5.514,56406,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,31,8,2013,12,9,2013,7,9,2013,water bottle,30 oz.
55576,2013-09-03,2013-09-15,2013-09-10,18387,4,4.99,0.3992,0.1248,5.514,56805,1,870,4.99,4,Accessories,28,Bottles and Cages,No color,Southwest,3,9,2013,15,9,2013,10,9,2013,water bottle,30 oz.
